5,5,5,4, 0.28125095
2,4,6,5, 0.5062525
4,4,4,3, 0.35625148
2,1,3,2, 5.500033
4,2,6,5, 0.35625148
5,3,4,3, 0.8062546
3,1,3,2, 5.100014
1,1,3,2, 5.7000422
3,1,6,5, 0.76875436
4,1,4,1, 1.0312537
2,5,6,5, 0.46875226
5,3,5,4, 0.39375174
2,3,4,1, 0.28125095
5,3,3,1, 1.1
3,3,5,4, 0.5062525
5,2,3,2, 1.8999897
4,3,3,1, 0.9000011
2,3,5,4, 0.46875226
2,2,5,4, 0.5437528
3,5,4,2, 0.20625044
5,4,4,3, 0.9187554
1,4,4,3, 1.1062483
2,3,6,5, 0.46875226
1,3,4,2, 0.58125305
1,2,6,5, 0.58125305
5,3,6,5, 0.39375174
1,1,3,1, 5.3000236
1,5,4,2, 0.46875226
3,4,3,2, 1.8999897
2,2,3,2, 4.299977
2,5,4,2, 0.35625148
2,3,3,1, 3.899964
3,5,4,1, 0.5437528
3,1,6,2, 0.5437528
3,3,6,5, 0.5062525
5,5,3,2, 1.1
4,5,3,1, 0.5000003
5,3,4,2, 0.13124992
3,2,6,5, 0.5437528
3,4,4,1, 0.20625044
4,2,4,1, 0.69375384
3,2,4,3, 0.88125515
3,3,4,3, 0.9187554
2,4,4,1, 0.2437507
2,1,5,3, 0.6562536
1,2,4,3, 1.0312537
2,1,4,1, 0.8062546
5,4,4,2, 0.431252
3,5,3,2, 4.0999675
4,4,3,1, 0.7000007
4,1,6,5, 0.431252
3,2,3,2, 4.499986
2,5,3,2, 4.6999955
3,4,5,4, 0.5062525
2,2,4,2, 0.7312541
1,5,4,3, 1.1437455
1,1,4,2, 0.88125515
2,4,4,3, 1.0312537
5,1,3,2, 6.9000983
2,3,4,3, 0.9562557
5,2,4,2, 0.58125305
5,1,5,4, 0.58125305
5,2,5,4, 0.431252
3,1,6,1, 0.5437528
4,1,4,3, 0.7312541
3,2,4,2, 0.5062525
4,2,3,2, 1.6999923
4,3,3,2, 1.2999974
3,1,5,2, 0.5437528
2,4,4,2, 0.39375174
2,1,6,5, 0.8062546
4,1,4,2, 0.28125095
3,2,5,4, 0.5437528
1,5,6,5, 0.5062525
1,3,4,1, 0.35625148
1,5,5,4, 0.5062525
5,3,4,1, 0.28125095
2,2,3,1, 4.499986
1,4,3,2, 4.6999955
5,4,3,2, 1.2999974
5,1,3,1, 7.1001077
1,3,6,5, 0.5062525
3,5,5,4, 0.46875226
3,1,5,4, 0.76875436
5,1,6,5, 0.58125305
2,5,5,4, 0.46875226
5,5,4,3, 0.8437549
2,1,4,2, 0.8437549
2,4,5,4, 0.5062525
3,3,4,2, 0.35625148
1,1,5,3, 0.69375384
3,5,4,3, 1.068751
1,1,4,3, 1.1062483
3,1,6,3, 0.5437528
1,5,4,1, 0.2437507
1,4,6,5, 0.5062525
5,4,3,1, 0.9000011
3,2,4,1, 0.431252
2,4,3,2, 4.0999675
2,2,4,3, 0.99375594
2,3,4,2, 0.5062525
1,5,3,2, 4.499986
2,4,3,1, 3.899964
4,2,5,4, 0.39375174
3,3,4,1, 0.2437507
3,4,4,2, 0.2437507
5,2,4,1, 1.1812428
4,2,3,1, 1.2999974
5,2,6,5, 0.431252
4,1,3,1, 2.499982
1,4,5,4, 0.5062525
3,1,4,1, 0.7312541
3,4,6,5, 0.46875226
2,1,4,3, 1.068751
5,1,4,3, 1.2187401
1,1,4,1, 0.8437549
1,3,4,3, 0.99375594
5,4,6,5, 0.31875122
5,1,4,2, 0.99375594
3,4,3,1, 1.4999949
2,2,4,1, 0.58125305
3,1,4,2, 0.76875436
3,1,5,1, 0.5437528
3,5,3,1, 1.2999974
3,1,3,1, 4.299977
3,1,4,3, 1.0312537
3,3,3,1, 1.8999897
4,1,5,4, 0.431252
1,2,5,4, 0.58125305
3,3,3,2, 4.299977
5,4,5,4, 0.31875122
4,3,4,3, 0.5437528
5,5,6,5, 0.28125095
4,2,4,2, 0.35625148
1,4,4,2, 0.46875226
2,2,6,5, 0.5437528
1,2,4,1, 0.6187533
1,3,5,4, 0.5062525
2,5,4,1, 0.20625044
3,2,3,1, 3.899964
5,5,4,2, 0.5062525
2,5,4,3, 1.1062483
1,5,3,1, 3.899964
1,2,4,2, 0.8062546
1,3,3,1, 3.899964
5,3,3,2, 1.4999949
2,1,3,1, 5.100014
4,4,3,2, 1.4999949
1,3,3,2, 4.6999955
5,1,4,1, 0.88125515
2,1,5,4, 0.8062546
5,5,3,1, 0.7000007
4,5,3,2, 0.9000011
5,2,3,1, 1.4999949
1,4,4,1, 0.2437507
1,4,3,1, 4.0999675
5,2,4,3, 0.99375594
1,2,3,1, 4.6999955
4,2,4,3, 0.58125305
1,1,5,4, 0.8062546
4,1,3,2, 2.6999795
3,5,6,5, 0.46875226
2,3,3,2, 4.499986
2,5,3,1, 3.6999667
3,4,4,3, 0.9562557
1,2,3,2, 4.499986
1,1,6,5, 0.8062546
